127.0.0.1 - - [22/May/2026:09:39:00 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/May/2026:09:39:27 +0530] "GET /LoginProfileApp/login.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [22/May/2026:09:39:28 +0530] "GET /LoginProfileApp/style.css HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [22/May/2026:09:39:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/May/2026:09:40:31 +0530] "POST /LoginProfileApp/login HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [22/May/2026:09:40:32 +0530] "GET /LoginProfileApp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2026:09:41:08 +0530] "POST /LoginProfileApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2026:09:41:08 +0530] "GET /LoginProfileApp/profile.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [22/May/2026:09:41:09 +0530] "GET /LoginProfileApp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2026:11:13:47 +0530] "GET /LoginProfileApp/login.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [22/May/2026:11:13:47 +0530] "GET /LoginProfileApp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:11 +0530] "POST /LoginProfileApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:11 +0530] "GET /LoginProfileApp/profile.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:36 +0530] "POST /LoginProfileApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:36 +0530] "GET /LoginProfileApp/profile.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:39 +0530] "GET /LoginProfileApp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:39 +0530] "GET /LoginProfileApp/login.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [22/May/2026:11:14:50 +0530] "POST /LoginProfileApp/login HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [22/May/2026:11:15:00 +0530] "POST /LoginProfileApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2026:11:15:00 +0530] "GET /LoginProfileApp/profile.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [22/May/2026:11:15:05 +0530] "GET /LoginProfileApp/logout HTTP/1.1" 302 -
